Jahr,Bundesland,Hochschulart,Faechergruppe,Wert_EUR
2022-01-01T00:00:00.000Z,Sachsen,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",2.64197E8
2020-01-01T00:00:00.000Z,Saarland,Pädagogische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2021-01-01T00:00:00.000Z,Bayern,Kunsthochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Rheinland-Pfalz,Pädagogische Hochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2020-01-01T00:00:00.000Z,Baden-Württemberg,Fachhochschulen,Sport,
2022-01-01T00:00:00.000Z,Berlin,Universitäten (ohne Medizinische Einrichtungen),Humanmedizin/Gesundheitswissenschaften,
2021-01-01T00:00:00.000Z,Niedersachsen,Fachhochschulen,Geisteswissenschaften,7912000.0
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Pädagogische Hochschulen,Ingenieurwissenschaften,
2019-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Kunsthochschulen,"Mathematik, Naturwissenschaften",
2022-01-01T00:00:00.000Z,Bremen,Kunsthochschulen,Geisteswissenschaften,
2020-01-01T00:00:00.000Z,Sachsen,Verwaltungsfachhochschulen,Ingenieurwissenschaften,
2019-01-01T00:00:00.000Z,Thüringen,Verwaltungsfachhochschulen,Humanmedizin/Gesundheitswissenschaften,
2020-01-01T00:00:00.000Z,Bremen,Universitäten (ohne Medizinische Einrichtungen),"Kunst, Kunstwissenschaft",4709000.0
2022-01-01T00:00:00.000Z,Bayern,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2020-01-01T00:00:00.000Z,Schleswig-Holstein,Fachhochschulen,Humanmedizin/Gesundheitswissenschaften,
2020-01-01T00:00:00.000Z,Nordrhein-Westfalen,Kunsthochschulen,"Mathematik, Naturwissenschaften",
2019-01-01T00:00:00.000Z,Rheinland-Pfalz,Medizinische Einrichtungen der Universitäten,Humanmedizin/Gesundheitswissenschaften,8.81489E8
2021-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Kunsthochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2021-01-01T00:00:00.000Z,Rheinland-Pfalz,Universitäten (ohne Medizinische Einrichtungen),"Rechts-, Wirtschafts- und Sozialwissenschaften",1.55303E8
2021-01-01T00:00:00.000Z,Bremen,Fachhochschulen,Ingenieurwissenschaften,2.6352E7
2021-01-01T00:00:00.000Z,Niedersachsen,Theologische Hochschulen,Ingenieurwissenschaften,
2021-01-01T00:00:00.000Z,Schleswig-Holstein,Pädagogische Hochschulen,"Mathematik, Naturwissenschaften",
2020-01-01T00:00:00.000Z,Hessen,Verwaltungsfachhochschulen,Geisteswissenschaften,
2021-01-01T00:00:00.000Z,Bayern,Medizinische Einrichtungen der Universitäten,Geisteswissenschaften,
2019-01-01T00:00:00.000Z,Rheinland-Pfalz,Universitäten (ohne Medizinische Einrichtungen),"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2022-01-01T00:00:00.000Z,Nordrhein-Westfalen,Pädagogische Hochschulen,"Kunst, Kunstwissenschaft",
2021-01-01T00:00:00.000Z,Sachsen-Anhalt,Fachhochschulen,"Mathematik, Naturwissenschaften",
2022-01-01T00:00:00.000Z,Schleswig-Holstein,Universitäten (ohne Medizinische Einrichtungen),"Kunst, Kunstwissenschaft",3882000.0
2022-01-01T00:00:00.000Z,Niedersachsen,Verwaltungsfachhochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",1.0004E7
2021-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Pädagogische Hochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),
2021-01-01T00:00:00.000Z,Hamburg,Theologische Hochschulen,Sport,
2022-01-01T00:00:00.000Z,Niedersachsen,Universitäten (ohne Medizinische Einrichtungen),Humanmedizin/Gesundheitswissenschaften,
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Universitäten (ohne Medizinische Einrichtungen),Zentr.Einrichtungen (o. klinikspez. Einrichtungen),2.30064E8
2022-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,Geisteswissenschaften,
2020-01-01T00:00:00.000Z,Hessen,Kunsthochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2022-01-01T00:00:00.000Z,Bremen,Fachhochschulen,"Kunst, Kunstwissenschaft",
2019-01-01T00:00:00.000Z,Sachsen,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",2.42565E8
2022-01-01T00:00:00.000Z,Sachsen,Universitäten (ohne Medizinische Einrichtungen),Zentr.Einrichtungen (o. klinikspez. Einrichtungen),4.33032E8
2019-01-01T00:00:00.000Z,Baden-Württemberg,Kunsthochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),2.1951E7
2021-01-01T00:00:00.000Z,Hessen,Kunsthochschulen,"Mathematik, Naturwissenschaften",
2022-01-01T00:00:00.000Z,Schleswig-Holstein,Verwaltungsfachhochschulen,Humanmedizin/Gesundheitswissenschaften,
2021-01-01T00:00:00.000Z,Baden-Württemberg,Kunsthochschulen,Sport,
2022-01-01T00:00:00.000Z,Niedersachsen,Fachhochschulen,"Kunst, Kunstwissenschaft",2.7233E7
2020-01-01T00:00:00.000Z,Thüringen,Theologische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2019-01-01T00:00:00.000Z,Baden-Württemberg,Pädagogische Hochschulen,Geisteswissenschaften,2.4436E7
2021-01-01T00:00:00.000Z,Saarland,Fachhochschulen,Sport,
2022-01-01T00:00:00.000Z,Bayern,Theologische Hochschulen,"Mathematik, Naturwissenschaften",
2019-01-01T00:00:00.000Z,Sachsen-Anhalt,Medizinische Einrichtungen der Universitäten,Humanmedizin/Gesundheitswissenschaften,9.23338E8
2019-01-01T00:00:00.000Z,Bayern,Fachhochschulen,Sport,531000.0
2021-01-01T00:00:00.000Z,Baden-Württemberg,Verwaltungsfachhochschulen,Ingenieurwissenschaften,
2020-01-01T00:00:00.000Z,Schleswig-Holstein,Universitäten (ohne Medizinische Einrichtungen),Zentr.Einrichtungen (o. klinikspez. Einrichtungen),1.78075E8
2022-01-01T00:00:00.000Z,Brandenburg,Kunsthochschulen,Sport,
2020-01-01T00:00:00.000Z,Niedersachsen,Universitäten (ohne Medizinische Einrichtungen),"Rechts-, Wirtschafts- und Sozialwissenschaften",2.11874E8
2019-01-01T00:00:00.000Z,Sachsen,Kunsthochschulen,Geisteswissenschaften,
2022-01-01T00:00:00.000Z,Thüringen,Kunsthochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2020-01-01T00:00:00.000Z,Schleswig-Holstein,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2019-01-01T00:00:00.000Z,Sachsen,Pädagogische Hochschulen,Sport,
2019-01-01T00:00:00.000Z,Hamburg,Theologische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2019-01-01T00:00:00.000Z,Bremen,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",9.1578E7
2021-01-01T00:00:00.000Z,Berlin,Medizinische Einrichtungen der Universitäten,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),
2019-01-01T00:00:00.000Z,Hamburg,Medizinische Einrichtungen der Universitäten,Sport,
2019-01-01T00:00:00.000Z,Berlin,Fachhochschulen,Ingenieurwissenschaften,9.8756E7
2019-01-01T00:00:00.000Z,Saarland,Theologische Hochschulen,Ingenieurwissenschaften,
2020-01-01T00:00:00.000Z,Thüringen,Verwaltungsfachhochschulen,Geisteswissenschaften,
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",9.23368E8
2019-01-01T00:00:00.000Z,Niedersachsen,Theologische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2021-01-01T00:00:00.000Z,Hessen,Pädagogische Hochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2021-01-01T00:00:00.000Z,Rheinland-Pfalz,Kunsthochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Universitäten (ohne Medizinische Einrichtungen),"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",2.0731E7
2019-01-01T00:00:00.000Z,Sachsen,Verwaltungsfachhochschulen,"Kunst, Kunstwissenschaft",
2021-01-01T00:00:00.000Z,Baden-Württemberg,Fachhochschulen,Ingenieurwissenschaften,3.92474E8
2020-01-01T00:00:00.000Z,Sachsen,Medizinische Einrichtungen der Universitäten,Humanmedizin/Gesundheitswissenschaften,1.543315E9
2020-01-01T00:00:00.000Z,Bayern,Kunsthochschulen,"Kunst, Kunstwissenschaft",5.8424E7
2022-01-01T00:00:00.000Z,Brandenburg,Pädagogische Hochschulen,"Mathematik, Naturwissenschaften",
2021-01-01T00:00:00.000Z,Sachsen-Anhalt,Medizinische Einrichtungen der Universitäten,Geisteswissenschaften,
2020-01-01T00:00:00.000Z,Niedersachsen,Kunsthochschulen,"Kunst, Kunstwissenschaft",2.3306E7
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Theologische Hochschulen,"Mathematik, Naturwissenschaften",
2019-01-01T00:00:00.000Z,Hessen,Pädagogische Hochschulen,Geisteswissenschaften,
2021-01-01T00:00:00.000Z,Sachsen,Fachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",4248000.0
2021-01-01T00:00:00.000Z,Hamburg,Pädagogische Hochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2019-01-01T00:00:00.000Z,Hessen,Kunsthochschulen,Ingenieurwissenschaften,539000.0
2021-01-01T00:00:00.000Z,Nordrhein-Westfalen,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2020-01-01T00:00:00.000Z,Brandenburg,Verwaltungsfachhochschulen,Geisteswissenschaften,
2022-01-01T00:00:00.000Z,Nordrhein-Westfalen,Verwaltungsfachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2020-01-01T00:00:00.000Z,Baden-Württemberg,Medizinische Einrichtungen der Universitäten,Geisteswissenschaften,
2020-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Verwaltungsfachhochschulen,Ingenieurwissenschaften,
2022-01-01T00:00:00.000Z,Saarland,Kunsthochschulen,Sport,
2021-01-01T00:00:00.000Z,Sachsen,Medizinische Einrichtungen der Universitäten,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2019-01-01T00:00:00.000Z,Thüringen,Pädagogische Hochschulen,Sport,
2019-01-01T00:00:00.000Z,Brandenburg,Pädagogische Hochschulen,"Kunst, Kunstwissenschaft",
2020-01-01T00:00:00.000Z,Baden-Württemberg,Fachhochschulen,Humanmedizin/Gesundheitswissenschaften,9669000.0
2020-01-01T00:00:00.000Z,Sachsen-Anhalt,Theologische Hochschulen,Humanmedizin/Gesundheitswissenschaften,
2020-01-01T00:00:00.000Z,Hamburg,Fachhochschulen,Humanmedizin/Gesundheitswissenschaften,2.1578E7
