Hochschule_Code,Hochschule,Parent_University,QID,Source,Wiki_Name,Lat,Lon,Bundesland,Gruendungsjahr,Stadt
HS7300,TH Rosenheim in Rosenheim (FH),TH Rosenheim in Rosenheim (FH),,City,,47.856111111,12.128888888,Bayern,,Rosenheim
HS7260,Ostbayerische Technische Hochschule Regensburg(FH),Ostbayerische Technische Hochschule Regensburg(FH),Q982435,A,Ostbayerische Technische Hochschule Regensburg,49.0037,12.0951,Bayern,1971,Regensburg
HS2381,VWA-H f.berufsb.Stud.Stuttgart in Stuttg.(Priv.FH),VWA-H f.berufsb.Stud.Stuttgart in Stuttg.(Priv.FH),,City,,48.7775,9.18,Baden-Württemberg,,Stuttgart
HS4890,Promotionszentrum Integrales Bauen München (FH),Promotionszentrum Integrales Bauen München (FH),,City,,48.1375,11.575,Bayern,,München
HS0811,U der Bundeswehr München (FB UNI),U der Bundeswehr München (FB UNI),,City,,48.1375,11.575,Bayern,,München
HS5692,Int. Sch. of Managem. Dortmund in Stuttg.(Priv.FH),Int. Sch. of Managem. Dortmund in Stuttg.(Priv.FH),,City,,51.513888888,7.465277777,Nordrhein-Westfalen,,Dortmund
HS4940,GU - Deutsche H f. angew. Wiss. Potsdam (Priv. FH),GU - Deutsche H f. angew. Wiss. Potsdam (Priv. FH),,City,,52.4,13.066666666,Brandenburg,,Potsdam
HS1360,Universität des Saarlandes Saarbrücken,Universität des Saarlandes Saarbrücken,,City,,49.233333333,7.0,Saarland,,Saarbrücken
HS6079,FH f.öffentl.Verw.NW in Wuppertal (2001 aufgelöst),FH f.öffentl.Verw.NW in Wuppertal (2001 aufgelöst),,City,,51.266666666,7.183333333,Nordrhein-Westfalen,,Wuppertal
HS7610,H f. Technik u. Wirtsch. d. Saarlandes Saarbrücken,H f. Technik u. Wirtsch. d. Saarlandes Saarbrücken,,City,,49.233333333,7.0,Saarland,,Saarbrücken
HS8225,Duale HS Sachsen in Leipzig (FH),Duale HS Sachsen in Leipzig (FH),,City,,51.3406321,12.3747329,Sachsen,,Leipzig
HS6414,Europ. FH (EUFH) Rhein/Erft in Köln (Priv. FH),Europ. FH (EUFH) Rhein/Erft in Köln (Priv. FH),,City,,50.942222222,6.957777777,Nordrhein-Westfalen,,Köln
HS3360,Digital Busin. U of Appl. Scienc.Berlin (Priv. FH),Digital Busin. U of Appl. Scienc.Berlin (Priv. FH),,City,,52.516666666,13.383333333,Berlin,,Berlin
