Jahr,Bundesland,Kennzahl,Wert_EUR
2019-01-01T00:00:00.000Z,Bremen,Ausgaben der Hochschulen,5.07142E8
2019-01-01T00:00:00.000Z,Bremen,Trägermittel der Hochschulen,2.52778E8
2019-01-01T00:00:00.000Z,Bremen,Drittmitteleinnahmen der Hochschulen,1.42815E8
2019-01-01T00:00:00.000Z,Bremen,Einnahmen der Hochschulen (ohne Trägermittel),2.81507E8
2021-01-01T00:00:00.000Z,Nordrhein-Westfalen,Ausgaben der Hochschulen,1.4965882E10
2021-01-01T00:00:00.000Z,Nordrhein-Westfalen,Trägermittel der Hochschulen,7.722334E9
2021-01-01T00:00:00.000Z,Nordrhein-Westfalen,Drittmitteleinnahmen der Hochschulen,1.914207E9
2021-01-01T00:00:00.000Z,Nordrhein-Westfalen,Einnahmen der Hochschulen (ohne Trägermittel),7.579647E9
2022-01-01T00:00:00.000Z,Berlin,Ausgaben der Hochschulen,4.651271E9
2022-01-01T00:00:00.000Z,Berlin,Trägermittel der Hochschulen,1.852581E9
2022-01-01T00:00:00.000Z,Berlin,Drittmitteleinnahmen der Hochschulen,7.81733E8
2022-01-01T00:00:00.000Z,Berlin,Einnahmen der Hochschulen (ohne Trägermittel),2.85528E9
2021-01-01T00:00:00.000Z,Baden-Württemberg,Ausgaben der Hochschulen,9.694291E9
2021-01-01T00:00:00.000Z,Baden-Württemberg,Trägermittel der Hochschulen,4.335773E9
2021-01-01T00:00:00.000Z,Baden-Württemberg,Drittmitteleinnahmen der Hochschulen,1.554966E9
2021-01-01T00:00:00.000Z,Baden-Württemberg,Einnahmen der Hochschulen (ohne Trägermittel),5.583588E9
2020-01-01T00:00:00.000Z,Sachsen,Ausgaben der Hochschulen,3.350001E9
2020-01-01T00:00:00.000Z,Sachsen,Trägermittel der Hochschulen,1.142117E9
2020-01-01T00:00:00.000Z,Sachsen,Drittmitteleinnahmen der Hochschulen,6.27267E8
2020-01-01T00:00:00.000Z,Sachsen,Einnahmen der Hochschulen (ohne Trägermittel),1.86643E9
2020-01-01T00:00:00.000Z,Berlin,Ausgaben der Hochschulen,4.231918E9
2020-01-01T00:00:00.000Z,Berlin,Trägermittel der Hochschulen,1.772809E9
2020-01-01T00:00:00.000Z,Berlin,Drittmitteleinnahmen der Hochschulen,6.30166E8
2020-01-01T00:00:00.000Z,Berlin,Einnahmen der Hochschulen (ohne Trägermittel),2.495821E9
2019-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Ausgaben der Hochschulen,1.255191E9
2019-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Trägermittel der Hochschulen,5.17347E8
2019-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Drittmitteleinnahmen der Hochschulen,1.21088E8
2019-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Einnahmen der Hochschulen (ohne Trägermittel),7.46794E8
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Ausgaben der Hochschulen,2.228965E9
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Trägermittel der Hochschulen,6.02749E8
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Drittmitteleinnahmen der Hochschulen,1.93995E8
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Einnahmen der Hochschulen (ohne Trägermittel),1.287375E9
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Ausgaben der Hochschulen,1.3612368E10
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Trägermittel der Hochschulen,6.660823E9
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Drittmitteleinnahmen der Hochschulen,1.712853E9
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Einnahmen der Hochschulen (ohne Trägermittel),6.96282E9
2021-01-01T00:00:00.000Z,Bremen,Ausgaben der Hochschulen,5.43798E8
2021-01-01T00:00:00.000Z,Bremen,Trägermittel der Hochschulen,2.81721E8
2021-01-01T00:00:00.000Z,Bremen,Drittmitteleinnahmen der Hochschulen,1.46511E8
2021-01-01T00:00:00.000Z,Bremen,Einnahmen der Hochschulen (ohne Trägermittel),2.89712E8
2019-01-01T00:00:00.000Z,Baden-Württemberg,Ausgaben der Hochschulen,8.582881E9
2019-01-01T00:00:00.000Z,Baden-Württemberg,Trägermittel der Hochschulen,3.987383E9
2019-01-01T00:00:00.000Z,Baden-Württemberg,Drittmitteleinnahmen der Hochschulen,1.44193E9
2019-01-01T00:00:00.000Z,Baden-Württemberg,Einnahmen der Hochschulen (ohne Trägermittel),4.803604E9
2022-01-01T00:00:00.000Z,Thüringen,Ausgaben der Hochschulen,1.942486E9
2022-01-01T00:00:00.000Z,Thüringen,Trägermittel der Hochschulen,7.93635E8
2022-01-01T00:00:00.000Z,Thüringen,Drittmitteleinnahmen der Hochschulen,2.62893E8
2022-01-01T00:00:00.000Z,Thüringen,Einnahmen der Hochschulen (ohne Trägermittel),1.264973E9
2020-01-01T00:00:00.000Z,Thüringen,Ausgaben der Hochschulen,1.592305E9
2020-01-01T00:00:00.000Z,Thüringen,Trägermittel der Hochschulen,6.33498E8
2020-01-01T00:00:00.000Z,Thüringen,Drittmitteleinnahmen der Hochschulen,2.22495E8
2020-01-01T00:00:00.000Z,Thüringen,Einnahmen der Hochschulen (ohne Trägermittel),9.19106E8
