Jahr,Beschaeftigungsverhaeltnis,Geschlecht,Wert
2022-01-01T00:00:00.000Z,Verwaltungspersonal,männlich,28414.0
2020-01-01T00:00:00.000Z,Wissenschaftliche Hilfskräfte,männlich,22127.0
2020-01-01T00:00:00.000Z,Pflegepersonal,weiblich,63731.0
2019-01-01T00:00:00.000Z,Professoren,weiblich,12408.0
2019-01-01T00:00:00.000Z,Leitungs- und Verwaltungspersonal,weiblich,
2020-01-01T00:00:00.000Z,Arbeiter,männlich,
2022-01-01T00:00:00.000Z,Sonstiges Personal für Lehre und Forschung,weiblich,
2019-01-01T00:00:00.000Z,Arbeiter,weiblich,
2023-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,weiblich,38470.0
2019-01-01T00:00:00.000Z,Technisches Personal,weiblich,24914.0
2021-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,weiblich,39041.0
2020-01-01T00:00:00.000Z,Praktikanten,weiblich,1356.0
2020-01-01T00:00:00.000Z,Verwaltungspersonal,männlich,25941.0
2022-01-01T00:00:00.000Z,Dozenten und Assistenten,männlich,2058.0
2020-01-01T00:00:00.000Z,Dozenten und Assistenten,männlich,2182.0
2022-01-01T00:00:00.000Z,Lehrkräfte für besondere Aufgaben,männlich,5118.0
2020-01-01T00:00:00.000Z,Bibliothekspersonal,weiblich,7308.0
2020-01-01T00:00:00.000Z,Wissenschaftliche Hilfskräfte,weiblich,21907.0
2023-01-01T00:00:00.000Z,Praktikanten,männlich,925.0
2023-01-01T00:00:00.000Z,"Gastprofessoren, Emeriti",männlich,1412.0
2019-01-01T00:00:00.000Z,Sonstiges Personal für Lehre und Forschung,weiblich,
2021-01-01T00:00:00.000Z,Pflegepersonal,männlich,16306.0
2021-01-01T00:00:00.000Z,Zeitweilig Beschäftigte,männlich,
2021-01-01T00:00:00.000Z,Praktikanten,weiblich,1678.0
2020-01-01T00:00:00.000Z,Leitungs- und Verwaltungspersonal,weiblich,
2021-01-01T00:00:00.000Z,"Gastprofessoren, Emeriti",männlich,1628.0
2022-01-01T00:00:00.000Z,Sonstiges Personal,männlich,14620.0
2019-01-01T00:00:00.000Z,Dozenten und Assistenten,männlich,2343.0
2023-01-01T00:00:00.000Z,Pflegepersonal,weiblich,68224.0
2019-01-01T00:00:00.000Z,Pflegepersonal,weiblich,60359.0
2021-01-01T00:00:00.000Z,Professoren,männlich,36596.0
2019-01-01T00:00:00.000Z,Wissenschaftliche und künstlerische Mitarbeiter,männlich,112395.0
2023-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,weiblich,120393.0
2019-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,2455.0
2020-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,männlich,88153.0
2021-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,3749.0
2021-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,101006.0
2019-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,3469.0
2020-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,weiblich,57404.0
2021-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,246476.0
2021-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,2253.0
2019-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,94747.0
2020-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,männlich,159567.0
2022-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,3832.0
2020-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,weiblich,109708.0
2019-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,230432.0
2023-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,männlich,86226.0
2023-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,weiblich,57937.0
2019-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,männlich,89604.0
2022-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,250007.0
2022-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,102864.0
2023-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,männlich,161195.0
2022-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,2377.0
2019-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,männlich,155848.0
2023-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,3949.0
2021-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,weiblich,114094.0
2022-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,männlich,89241.0
2019-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,weiblich,56444.0
2022-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,weiblich,60981.0
2019-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,weiblich,104763.0
2023-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,254875.0
2023-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,105184.0
2022-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,männlich,161055.0
2023-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,2546.0
2020-01-01T00:00:00.000Z,Dozenten und Assistenten,weiblich,1546.0
2019-01-01T00:00:00.000Z,Praktikanten,weiblich,1310.0
2021-01-01T00:00:00.000Z,"Gastprofessoren, Emeriti",weiblich,292.0
2023-01-01T00:00:00.000Z,Lehrkräfte für besondere Aufgaben,männlich,5079.0
2020-01-01T00:00:00.000Z,Professoren,weiblich,12949.0
2021-01-01T00:00:00.000Z,Leitungs- und Verwaltungspersonal,männlich,
2023-01-01T00:00:00.000Z,Pflegepersonal,männlich,17318.0
2020-01-01T00:00:00.000Z,Leitungs- und Verwaltungspersonal,männlich,
2019-01-01T00:00:00.000Z,Zeitweilig Beschäftigte,männlich,
2019-01-01T00:00:00.000Z,Dozenten und Assistenten,weiblich,1586.0
2019-01-01T00:00:00.000Z,Wissenschaftliche und künstlerische Mitarbeiter,weiblich,85107.0
2020-01-01T00:00:00.000Z,Technisches Personal,weiblich,26360.0
2019-01-01T00:00:00.000Z,Pflegepersonal,männlich,14335.0
2020-01-01T00:00:00.000Z,Auszubildende,männlich,6284.0
2021-01-01T00:00:00.000Z,Verwaltungspersonal,männlich,27339.0
2021-01-01T00:00:00.000Z,Bibliothekspersonal,männlich,2350.0
2022-01-01T00:00:00.000Z,Professoren,männlich,36835.0
2023-01-01T00:00:00.000Z,Leitungs- und Verwaltungspersonal,männlich,
2019-01-01T00:00:00.000Z,Praktikanten,männlich,560.0
2023-01-01T00:00:00.000Z,Bibliothekspersonal,weiblich,6764.0
2022-01-01T00:00:00.000Z,Technisches Personal,weiblich,26850.0
2022-01-01T00:00:00.000Z,Lehrkräfte für besondere Aufgaben,weiblich,6045.0
2019-01-01T00:00:00.000Z,Auszubildende,weiblich,14036.0
2023-01-01T00:00:00.000Z,Professoren,weiblich,14934.0
2022-01-01T00:00:00.000Z,Pflegepersonal,männlich,16436.0
2020-01-01T00:00:00.000Z,"Gastprofessoren, Emeriti",männlich,1534.0
2022-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,männlich,67455.0
2021-01-01T00:00:00.000Z,Wissenschaftliche und künstlerische Mitarbeiter,weiblich,93010.0
2022-01-01T00:00:00.000Z,Praktikanten,männlich,795.0
2020-01-01T00:00:00.000Z,Wissenschaftliche und künstlerische Mitarbeiter,weiblich,89383.0
2021-01-01T00:00:00.000Z,Lehrkräfte für besondere Aufgaben,weiblich,5895.0
2021-01-01T00:00:00.000Z,Arbeiter,männlich,
2021-01-01T00:00:00.000Z,Technisches Personal,männlich,33068.0
2022-01-01T00:00:00.000Z,"Gastprofessoren, Emeriti",männlich,1568.0
2022-01-01T00:00:00.000Z,Auszubildende,weiblich,16908.0
2023-01-01T00:00:00.000Z,Verwaltungspersonal,weiblich,91095.0
2019-01-01T00:00:00.000Z,Zeitweilig Beschäftigte,weiblich,
2022-01-01T00:00:00.000Z,Bibliothekspersonal,männlich,2368.0
2020-01-01T00:00:00.000Z,Lehrkräfte für besondere Aufgaben,weiblich,5830.0
2022-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,weiblich,38961.0
2023-01-01T00:00:00.000Z,Sonstiges Personal,weiblich,42779.0
2021-01-01T00:00:00.000Z,Sonstige Hilfskräfte,weiblich,3749.0
2020-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,weiblich,35238.0
2019-01-01T00:00:00.000Z,Lehrbeauftragte/Honorarprofessoren/Privatdozenten,weiblich,35281.0
2023-01-01T00:00:00.000Z,Dozenten und Assistenten,männlich,2089.0
2019-01-01T00:00:00.000Z,Sonstiges Personal,männlich,13989.0
2021-01-01T00:00:00.000Z,Dozenten und Assistenten,männlich,2138.0
2019-01-01T00:00:00.000Z,Bibliothekspersonal,männlich,2454.0
2022-01-01T00:00:00.000Z,Leitungs- und Verwaltungspersonal,männlich,
2019-01-01T00:00:00.000Z,Auszubildende,männlich,5899.0
