Jahr,Faechergruppe,Geschlecht,Wert
2022-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),weiblich,220.0
2019-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),weiblich,6.0
2019-01-01T00:00:00.000Z,Veterinärmedizin,weiblich,
2022-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",männlich,10262.0
2020-01-01T00:00:00.000Z,Ingenieurwissenschaften,weiblich,1821.0
2020-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",männlich,2467.0
2023-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",männlich,5077.0
2021-01-01T00:00:00.000Z,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",männlich,826.0
2021-01-01T00:00:00.000Z,Humanmedizin/Gesundheitswissenschaften,weiblich,1327.0
2021-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",männlich,2497.0
2021-01-01T00:00:00.000Z,Sport,weiblich,84.0
2023-01-01T00:00:00.000Z,Geisteswissenschaften,weiblich,2057.0
2022-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften",männlich,
2022-01-01T00:00:00.000Z,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",männlich,826.0
2023-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),weiblich,218.0
2020-01-01T00:00:00.000Z,Sport,weiblich,81.0
2020-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",weiblich,1354.0
2019-01-01T00:00:00.000Z,Humanmedizin/Gesundheitswissenschaften,weiblich,1098.0
2021-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),weiblich,16.0
2021-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften",weiblich,
2022-01-01T00:00:00.000Z,Geisteswissenschaften,männlich,2742.0
2020-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),weiblich,177.0
2019-01-01T00:00:00.000Z,Sport,männlich,211.0
2020-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",männlich,10091.0
2019-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),männlich,21.0
2022-01-01T00:00:00.000Z,Veterinärmedizin,männlich,
2023-01-01T00:00:00.000Z,Humanmedizin/Gesundheitswissenschaften,männlich,3721.0
2022-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",weiblich,5179.0
2020-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",weiblich,1325.0
2019-01-01T00:00:00.000Z,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",weiblich,346.0
2019-01-01T00:00:00.000Z,Geisteswissenschaften,weiblich,1839.0
2022-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",weiblich,1459.0
2022-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",weiblich,1462.0
2023-01-01T00:00:00.000Z,Ingenieurwissenschaften,männlich,11140.0
2019-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften",weiblich,
2023-01-01T00:00:00.000Z,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",weiblich,434.0
2023-01-01T00:00:00.000Z,Veterinärmedizin,männlich,
2020-01-01T00:00:00.000Z,Humanmedizin/Gesundheitswissenschaften,männlich,3487.0
2020-01-01T00:00:00.000Z,"Agrar-, Forst- und Ernährungswissenschaften",weiblich,
2019-01-01T00:00:00.000Z,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),männlich,459.0
2021-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",weiblich,4972.0
2019-01-01T00:00:00.000Z,"Rechts-, Wirtschafts- und Sozialwissenschaften",weiblich,4558.0
2020-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",männlich,5076.0
2023-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",weiblich,1575.0
2020-01-01T00:00:00.000Z,Ingenieurwissenschaften,männlich,10919.0
2022-01-01T00:00:00.000Z,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",weiblich,404.0
2022-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft",männlich,2489.0
2021-01-01T00:00:00.000Z,Humanmedizin/Gesundheitswissenschaften,männlich,3593.0
2023-01-01T00:00:00.000Z,Ingenieurwissenschaften,weiblich,2104.0
2022-01-01T00:00:00.000Z,Sport,männlich,225.0
2020-01-01T00:00:00.000Z,Veterinärmedizin,weiblich,
2022-01-01T00:00:00.000Z,"Mathematik, Naturwissenschaften",männlich,5070.0
2023-01-01T00:00:00.000Z,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),weiblich,17.0
