Jahr,Wintersemester,Hochschule_Code,Nationalitaet,Geschlecht,Wert
2023-01-01T00:00:00.000Z,WS 2023/24,HS3490,Ausländer,männlich,22.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS1860,Deutsche,Insgesamt,
2023-01-01T00:00:00.000Z,WS 2023/24,HS2581,Deutsche,Insgesamt,32.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS7530,Insgesamt,weiblich,
2023-01-01T00:00:00.000Z,WS 2023/24,HS6286,Ausländer,Insgesamt,11.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS4970,Deutsche,weiblich,
2023-01-01T00:00:00.000Z,WS 2023/24,HS817C,Insgesamt,männlich,344.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS0124,Insgesamt,Insgesamt,
2023-01-01T00:00:00.000Z,WS 2023/24,HS2230,Deutsche,männlich,
2023-01-01T00:00:00.000Z,WS 2023/24,HS5503,Ausländer,männlich,13.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS1810,Insgesamt,weiblich,1170.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS572E,Insgesamt,männlich,55.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS0360,Deutsche,männlich,1298.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS5502,Deutsche,männlich,
2023-01-01T00:00:00.000Z,WS 2023/24,HS572A,Deutsche,Insgesamt,190.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS5100,Ausländer,männlich,
2023-01-01T00:00:00.000Z,WS 2023/24,HS572E,Insgesamt,Insgesamt,143.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS6360,Ausländer,männlich,
2023-01-01T00:00:00.000Z,WS 2023/24,HS8032,Deutsche,weiblich,103.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS9000,Insgesamt,Insgesamt,
2023-01-01T00:00:00.000Z,WS 2023/24,HS5461,Insgesamt,Insgesamt,
2023-01-01T00:00:00.000Z,WS 2023/24,HS8150,Insgesamt,weiblich,58.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS3051,Insgesamt,Insgesamt,175.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS7960,Insgesamt,männlich,
2023-01-01T00:00:00.000Z,WS 2023/24,HS7790,Deutsche,weiblich,86.0
2023-01-01T00:00:00.000Z,WS 2023/24,HS7800,Deutsche,weiblich,
