Hochschule_Code,Jahr,Wintersemester,Nationalitaet,Geschlecht,Wert,Bundesland
HS7140,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,1385.0,Baden-Württemberg
HS8106,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,6.0,Nordrhein-Westfalen
HS5702,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,79.0,Nordrhein-Westfalen
HS2100,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,6.0,Baden-Württemberg
HS2090,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,,Thüringen
HS810J,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,weiblich,398.0,Nordrhein-Westfalen
HS810G,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,16.0,Nordrhein-Westfalen
HS6000,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,563.0,Nordrhein-Westfalen
HS0760,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,2.0,Berlin
HS0260,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,5246.0,Mecklenburg-Vorpommern
HS5901,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,426.0,Nordrhein-Westfalen
HS0851,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,,Thüringen
HS5770,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,1097.0,Nordrhein-Westfalen
HS1410,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,261.0,Baden-Württemberg
HS1070,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,,Hessen
HS6211,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,weiblich,3661.0,Hessen
HS7940,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,185.0,Brandenburg
HS8109,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,weiblich,1309.0,Nordrhein-Westfalen
HS2930,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,,Sachsen
HS8226,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,,Sachsen
HS7020,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,3606.0,Baden-Württemberg
HS0140,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,8934.0,Nordrhein-Westfalen
HS2382,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,,Baden-Württemberg
HS1981,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,weiblich,,Berlin
HS7523,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,67.0,Bayern
HS7520,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,,Bayern
HS5891,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,4218.0,Nordrhein-Westfalen
HS0510,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,5856.0,Bayern
HS3360,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,9.0,Berlin
HS5692,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,11.0,Nordrhein-Westfalen
HS1660,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,,Nordrhein-Westfalen
HS6344,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,weiblich,270.0,Hessen
HS7820,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,247.0,Thüringen
HS1634,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,weiblich,190.0,Bayern
HS3000,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,5.0,Sachsen-Anhalt
HS4991,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,1886.0,Niedersachsen
HS0630,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,376.0,Sachsen
HS0020,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,855.0,Bremen
HS6753,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,23.0,Baden-Württemberg
HS1190,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,196.0,Rheinland-Pfalz
HS0390,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,1012.0,Sachsen
HS6620,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,1.0,Rheinland-Pfalz
HS5862,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,weiblich,1121.0,Nordrhein-Westfalen
HS5090,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,739.0,Schleswig-Holstein
HS1900,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,,Berlin
HS0763,2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,5.0,Berlin
HS6550,2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,,Rheinland-Pfalz
