Jahr,Wintersemester,Nationalitaet,Geschlecht,Wert
2019-01-01T00:00:00.000Z,WS 2019/20,Ausländer,männlich,218015.0
2023-01-01T00:00:00.000Z,WS 2023/24,Deutsche,weiblich,1241830.0
2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,männlich,1199632.0
2023-01-01T00:00:00.000Z,WS 2023/24,Ausländer,männlich,250834.0
2020-01-01T00:00:00.000Z,WS 2020/21,Deutsche,männlich,1253399.0
2019-01-01T00:00:00.000Z,WS 2019/20,Deutsche,männlich,1246852.0
2024-01-01T00:00:00.000Z,WS 2024/25,Deutsche,weiblich,1237821.0
2022-01-01T00:00:00.000Z,WS 2022/23,Deutsche,weiblich,1262421.0
2024-01-01T00:00:00.000Z,WS 2024/25,Ausländer,männlich,264417.0
2020-01-01T00:00:00.000Z,WS 2020/21,Ausländer,weiblich,193470.0
2019-01-01T00:00:00.000Z,WS 2019/20,Ausländer,weiblich,193586.0
2024-01-01T00:00:00.000Z,WS 2024/25,Ausländer,weiblich,227670.0
2021-01-01T00:00:00.000Z,WS 2021/22,Deutsche,weiblich,1270095.0
2019-01-01T00:00:00.000Z,WS 2019/20,Deutsche,weiblich,1232596.0
2024-01-01T00:00:00.000Z,WS 2024/25,Deutsche,männlich,1134214.0
2020-01-01T00:00:00.000Z,WS 2020/21,Deutsche,weiblich,1274309.0
2023-01-01T00:00:00.000Z,WS 2023/24,Deutsche,männlich,1156996.0
2021-01-01T00:00:00.000Z,WS 2021/22,Deutsche,männlich,1231256.0
2021-01-01T00:00:00.000Z,WS 2021/22,Ausländer,männlich,235026.0
2023-01-01T00:00:00.000Z,WS 2023/24,Ausländer,weiblich,218651.0
2021-01-01T00:00:00.000Z,WS 2021/22,Ausländer,weiblich,205538.0
2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,männlich,244493.0
2020-01-01T00:00:00.000Z,WS 2020/21,Ausländer,männlich,222967.0
2022-01-01T00:00:00.000Z,WS 2022/23,Ausländer,weiblich,213717.0
