Jahr,LehrForschungsbereich,Geschlecht,Wert
2020-01-01T00:00:00.000Z,Zahnmedizin (klinisch-praktisch),männlich,1110.0
2023-01-01T00:00:00.000Z,Bauingenieurwesen,männlich,3467.0
2023-01-01T00:00:00.000Z,Sonstige Sprach- und Kulturwissenschaften,männlich,767.0
2022-01-01T00:00:00.000Z,Allg. und vergl. Literatur- und Sprachwissenschaft,weiblich,990.0
2021-01-01T00:00:00.000Z,Mathematik,männlich,4424.0
2023-01-01T00:00:00.000Z,Mit der Hochschule verb. u. hochschulfr. Einricht.,weiblich,110.0
2020-01-01T00:00:00.000Z,Elektro- und Informationstechnik,männlich,7985.0
2023-01-01T00:00:00.000Z,Altphilologie (klassische Philologie),weiblich,190.0
2023-01-01T00:00:00.000Z,Erziehungswissenschaften,männlich,2148.0
2023-01-01T00:00:00.000Z,Evangelische Theologie,weiblich,514.0
2021-01-01T00:00:00.000Z,Soziale Einrichtungen,weiblich,4.0
2022-01-01T00:00:00.000Z,"Slawistik, Baltistik, Finno-Ugristik",männlich,155.0
2023-01-01T00:00:00.000Z,Zentralbibliothek,männlich,205.0
2022-01-01T00:00:00.000Z,"Kunst, Kunstwissenschaft allgemein",männlich,454.0
2020-01-01T00:00:00.000Z,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,weiblich,225.0
2022-01-01T00:00:00.000Z,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),männlich,6268.0
2021-01-01T00:00:00.000Z,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),männlich,6126.0
2023-01-01T00:00:00.000Z,Kulturwissenschaften i.e.S.,weiblich,337.0
2019-01-01T00:00:00.000Z,Geowissenschaften (ohne Geographie),männlich,2066.0
2020-01-01T00:00:00.000Z,Geisteswissenschaften allgemein,männlich,434.0
2020-01-01T00:00:00.000Z,Zentrale Hochschulverwaltung,männlich,1474.0
2023-01-01T00:00:00.000Z,Materialwissenschaft und Werkstofftechnik,weiblich,547.0
2022-01-01T00:00:00.000Z,Geschichte,männlich,1805.0
2020-01-01T00:00:00.000Z,Regionalwissenschaften,weiblich,82.0
2023-01-01T00:00:00.000Z,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),weiblich,26677.0
2020-01-01T00:00:00.000Z,Raumplanung,weiblich,357.0
2020-01-01T00:00:00.000Z,Verwaltungswissenschaften,männlich,1343.0
2022-01-01T00:00:00.000Z,Regionalwissenschaften,weiblich,92.0
